radius,radius_err,flux,flux_err,mass,mass_err,logF,logF_err
1.24,0.03,793847.868401,90168.80259369999,0.6,0.07,5.8997372829758055,0.0495429119995392
0.93,0.03,285235.428282,33123.236245,1.0,0.1,5.4552034670135985,0.050661412873410416
1.4069999999999998,0.052000000000000005,1236993.6410100001,140937.823539,0.473883,0.03444969999999998,6.0923674670653645,0.049697472858190934
0.89,0.03,102243.301175,13517.297487600004,1.23,0.04,5.0096348633000565,0.05775492160842876
0.87,0.03,71327.18288200001,10553.651652,0.41,0.03,4.853255071588849,0.06473389435983146
1.21,0.05,2063408.6476,311845.317597,1.16,0.09,6.314585246306992,0.06614210367910987
1.3,0.09,1764301.89857,304970.294518,1.90042,0.0785275,6.246572901467407,0.07583181692641583
1.38,0.16,1700299.78119,624241.534497,1.51,0.08,6.2305254989304375,0.16725074470767343
1.09,0.05,1326299.91459,185544.13139,1.22,0.08,6.122641741658188,0.06115715737102077
1.53,0.08,3130900.78983,689895.0149180001,0.84,0.09,6.49566930616306,0.0972925106936402
1.379,0.067,1527577.98318,267858.434133,0.542797,0.0208612,6.184003390305928,0.07694808040367818
1.065,0.047,564905.476219,131037.57493699998,0.574,0.093,5.751975784826902,0.10260809090835643
1.008,0.083,566473.824679,148043.56774,0.8422940000000001,0.0319679,5.753179847014763,0.11619486177294958
1.932,0.052000000000000005,1130792.0128,271116.377685,0.508547,0.0300802,6.053382732246615,0.10619250843210848
1.386,0.032,3842061.0036699995,480096.82352,1.13339,0.0393463,6.58456425624325,0.054553769749083436
1.077,0.055,508643.02225264744,204864.52538374238,0.908659,0.0350237,5.7064130910672155,0.1854207713494609
1.12,0.04,729705.884922,287161.72712199995,0.559059,0.10254,5.863147848758964,0.18065390156861127
0.9620000000000001,0.0515,308521.89041,90603.665264,0.8722260000000001,0.09376960000000001,5.489285983756597,0.13140799154365726
1.3,0.039,2069255.6840000001,251118.032936,1.091,0.0405076,6.315814156827968,0.05296558850051402
1.22,0.06,456411.299688,78265.65039289999,0.5784699999999999,0.044926,5.659356388006032,0.07521617701460981
1.32,0.08,806792.025992,151222.79574600002,1.01746,0.033625199999999994,5.906761597169896,0.0823768334362347
1.213,0.042,954432.149359,157785.75021099998,0.907,0.043,5.979745059805257,0.07246214134419926
1.537,0.06,1294499.7903200001,163538.254407,0.479329,0.03280809999999998,6.11210198442491,0.05516051071446082
1.22,0.11,306776.504632,160713.052751,0.583354,0.0285497,5.486822094848616,0.2526151771001408
1.32,0.03,956521.6611629999,91211.21071110001,0.7170979999999999,0.058738300000000014,5.980694809404657,0.041539310517539896
1.16,0.07,585253.793393,174255.646672,1.79362,0.166323,5.767344237309812,0.13334665629751186
1.341,0.023,1578026.8824200004,296273.741261,1.2231100000000001,0.04725580000000002,6.198114397344392,0.08251742963473285
1.18,0.03,505869.023704,61308.2547434,0.9391010000000001,0.0490467,5.704038086709817,0.05289384468788638
1.063,0.051,185537.949624,47115.2734852,0.496968,0.0340244,5.268432752908739,0.11275091612810285
0.93,0.07,621692.1239359999,278367.41813400004,1.7760900000000002,0.10347,5.7935753654334565,0.2092830919509092
1.14,0.11,423317.288544,469899.42270299996,0.8898360000000001,0.0647194,5.626666005695685,2.9754784198589395
1.16,0.28,357548.427027,157996.731246,1.00657,0.0520663,5.553334871776982,0.20610564489919936
1.15,0.04,555879.0216512817,77790.67404704893,1.12341,0.0580595,5.744980284484679,0.06117738966411102
1.67,0.08,3425503.05384,705308.478326,0.9842360000000001,0.08649069999999999,6.5347243590296165,0.09071770528019706
1.14,0.1,1792521.76132,453179.454292,1.6242299999999998,0.05508300000000002,6.2534644367324885,0.11223019328549988
1.153,0.048,766586.30241,137063.268552,1.47244,0.0879343,5.884561054885852,0.07849421071634044
1.27,0.03,595873.3356079999,86430.78620860001,0.457165,0.022218099999999998,5.775153951866468,0.06344138990418413
1.653,0.09,2057706.43085,358332.188703,0.63273,0.0272235,6.313383414859728,0.07640742040002912
1.3,0.05,549073.178227,66710.6307821,0.5711729999999999,0.0377848,5.739630229299406,0.05302734279890276
1.092,0.035,471795.999332,42274.4526875,0.6053850000000001,0.0404689,5.673754253897175,0.03901884360753938
0.9159999999999999,0.017,412169.92844,231695.27817600002,0.675887,0.05237050000000002,5.615076302850815,0.2761893741539372
1.37,0.2,453281.749196,222498.085732,0.891379,0.0713296,5.656368233104496,0.2333000826717262
0.775,0.068,36121.7479954,12375.078731799998,0.859095,0.0449723,4.557768758429623,0.155055309477405
1.224,0.051,405881.745682,63654.15245440001,0.52136,0.0204998,5.60839951959063,0.06867688930098881
0.86,0.12,535212.443994,229641.05619699997,0.512143,0.0362524,5.728526202471088,0.19923278593924554
1.39,0.06,869137.7188,120213.05801300002,0.5622699999999999,0.041890699999999996,5.939088597824985,0.060456083860156
1.271,0.039,1657982.29601,306559.53226999997,1.2713700000000001,0.0760245,6.219579888828116,0.08123502502622283
1.112,0.059000000000000004,942026.6257,245404.326467,1.55,0.16,5.974063177985202,0.11580549647135464
1.4,0.3,226211.527496,42358.8930567,0.41931,0.0329627,5.354514732332771,0.08229416096771393
1.24,0.1,1006025.8457,162968.687629,0.9570190000000001,0.0368934,6.0026091382752815,0.07097773003452224
0.915,0.046,782283.263274,124954.39497899999,0.9192790000000001,0.126953,5.893364038739567,0.0699691815289678
1.1640000000000001,0.073,716236.6396720002,152716.841052,0.590076,0.0255278,5.855056533934129,0.09404367405142944
1.01,0.12,3529081.3866,892296.5232459998,1.40771,0.0593514,6.547661674042518,0.11224147007833274
1.16,0.12,1977820.5760400002,482454.07645500003,1.8805900000000002,0.0738997,6.296186890714071,0.10811797261271172
1.56,0.06,2819580.98782,450260.689292,0.95,0.06,6.450184573497236,0.06995147492878617
1.27,0.048,1758786.78624,252248.684396,1.07,0.05,6.245213194106747,0.0627198054309579
1.83,0.06,4805058.59906,559112.6051609999,0.92,0.03,6.681698688381926,0.05076408228676232
1.21,0.02,1672979.71332,165118.48246600002,1.75921,0.0623904,6.223490674706209,0.04300366685331802
1.7,0.11,5428766.65665,1334524.5611700001,0.8839969999999999,0.08059110000000001,6.734701174883312,0.10899228435373765
1.7,0.11,1977141.2308599998,343950.234406,0.8875139999999999,0.0836078,6.2960376928809225,0.0763276388047327
0.9520000000000001,0.027000000000000003,88391.31454460001,17137.7727121,0.551763,0.035372,4.946409592720424,0.08528286247958672
1.429,0.051,1420501.93061,226373.371198,0.7290000000000001,0.036000000000000004,6.152441828310767,0.0698048155990163
1.67,0.07,4763957.48956,584383.261873,1.25,0.05,6.677967877468195,0.05354351326518758
0.9420000000000001,0.022000000000000002,84398.3330569,10896.1287519,0.69431,0.029271299999999997,4.9263338690031535,0.05638364901567794
1.24,0.03,941721.5550520001,88181.8882063,1.265,0.065,5.973922511094023,0.04078640053941518
1.7,0.13,1960077.6152400002,360724.250425,0.563545,0.0733797,6.292273268909054,0.0808468182740767
1.63,0.09,2308401.4154,457942.85672299995,0.63,0.07,6.3633113319250585,0.08731343186595764
1.03,0.04,353687.430917,56195.919338199994,1.34,0.08,5.548619626452067,0.06959284947803113
1.4609999999999999,0.077,2544064.20214,452388.73104399996,0.805,0.068,6.405528066993398,0.07805657845020653
1.597,0.077,3023966.0162400007,332507.529594,1.47,0.29,6.480576906193464,0.0479477715149157
1.72,0.06,956182.078918,322933.86685,0.41865,0.0333256,5.98054059974467,0.1526679703624696
1.21,0.06,1339646.52811,330301.742546,1.13,0.1,6.126990222885829,0.10933173732676993
1.2,0.06,534875.087756,129596.672908,0.48,0.03,5.728252370745914,0.10736152740689953
1.13,0.06,1160351.9419200001,184060.539398,1.32,0.05,6.0645897334095284,0.06947653546115262
1.1,0.04,397523.595006,79131.3387844,0.83,0.07,5.599362911298878,0.08762079810263977
1.3,0.057999999999999996,998505.943218,429947.057479,1.12,0.16,5.999350654183288,0.2000452521936391
1.206,0.047,444898.716058,60873.68106290001,0.918464,0.0794523,5.6482611524108215,0.0597977931646363
1.0190000000000001,0.031,637658.450876,177724.61733,0.597,0.021,5.8045881197579146,0.12433316533577665
0.983,0.028999999999999998,645447.823091,78258.7699263,0.566541,0.0565565,5.809861140390912,0.05291734439542406
1.03,0.06,446692.60094399995,59325.67795630001,1.1525100000000001,0.0881513,5.650008758838964,0.05802183565225728
